in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Bilocale via Sella Nuova 10/4, Bisceglie, Milano",,€ 170.000,255m²14
"Bilocale via Della Chiesa Rossa, Gratosoglio, Milano",,€ 179.000,245m²1T
"Bilocale buono stato, piano terra, Quinto Romano, Milano",,€ 275.000,278m²1R
"Trilocale viale Toscana 19, Ripamonti, Milano",,€ 448.000,370m²15
"Appartamento all'asta via Bari 24, Milano",,"da € 272.000,00",524/10/2023143m²T
"Trilocale via Lampugnano, Gallaratese, Milano",,€ 800.000,3154m²23
"Attico via Bernardo Rucellai, Precotto, Milano",,€ 445.000,285m²19
"Appartamento all'asta via Lessona, 2, Milano",,"da € 59.250,00",213/12/202347m²3
"Trilocale ottimo stato, quarto piano, Gambara, Milano",,€ 535.000,390m²24
"Trilocale via Pietro Rondoni, Tripoli - Soderini, Milano",,€ 545.000,394m²15
"Appartamento via Ludovico Ariosto, Pagano, Milano",,Prezzo su richiesta,5+390m²3+4 - 5
"Trilocale ottimo stato, piano terra, Ticinese, Milano",,€ 728.000,370m²1T
"Bilocale via Delle Forze Armate, San Carlo, Milano",,€ 264.000,247m²11
"Bilocale via Melchiorre Delfico, Ghisolfa - Mac Mahon, Milano",,€ 195.000,260m²1T
"Trilocale via Giovanni Cimabue, Monte Stella, Milano",,€ 440.000,380m²16
"Bilocale via Innocenzo Isimbardi, Cermenate - Abbiategrasso, Milano",,€ 385.000,285m²13
"Appartamento all'asta via E. Reinach , 7, Milano",,"da € 127.500,00",215/11/202374m²R
"Appartamento via Palestro, Palestro, Milano",,Prezzo su richiesta,5+335m²3+4
"Villa unifamiliare via Monte Altissimo, Certosa, Milano",,€ 820.000,4162m²3
"Trilocale corso Magenta 22, Cadorna - Castello, Milano",,€ 925.000,387m²21
"Monolocale via Giambellino, Giambellino, Milano",,€ 280.000,148m²13
"Bilocale via Lorenzo Ghiberti, Monte Rosa - Lotto, Milano",,€ 390.000,258m²1R
"Bilocale via Isimbardi, Cermenate - Abbiategrasso, Milano",,€ 305.000,270m²13
"Appartamento all'asta via Pacini , 61, Milano",,"da € 689.250,00",5+181m²5
"Appartamento all'asta via Michele Lessona, 2, Milano",,"da € 59.250,00",247m²3
"Quadrilocale via Santa Croce 8, Ticinese, Milano",,€ 960.000,4155m²31
"Bilocale via Benaco 26, Lodi - Brenta, Milano",,€ 325.000,266m²12
"Appartamento all'asta via Elio Vittorini, 32, Milano",,"da € 100.200,00",231/01/202474m²1
"Bilocale ottimo stato, piano terra, Ticinese, Milano",,€ 470.000,255m²1T
"Bilocale via Zuara, Tripoli - Soderini, Milano",,€ 375.000,256m²18
"Trilocale via Piero Martinetti 12, Piazzale Siena, Milano",,€ 500.000,3101m²26 - 7
"Trilocale ottimo stato, piano terra, Ticinese, Milano",,€ 710.000,383m²1T
"Appartamento all'asta viale Certosa, 292, Milano",,"da € 122.880,00",207/11/202379m²T
"Bilocale via Vigevano, Navigli - Darsena, Milano",,€ 380.000,255m²12
"Trilocale via Dezza, Dezza, Milano",,€ 855.000,3132m²33
"Appartamento all'asta viale Marche , 40, Milano",,"da € 197.533,00",152m²R
"Loft via Pantigliate, Bande Nere, Milano",,€ 695.000,4223m²2R
"Bilocale via Francesco Sforza, Missori, Milano",,€ 550.000,265m²11
"Bilocale via Conca del Naviglio, Corso Genova, Milano",,€ 370.000,255m²2T
"Bilocale via Pellegrino Rossi, Affori, Milano",,€ 220.000,255m²12
"Trilocale via dell'innovazione, 22, Bicocca, Milano",,€ 810.000,3150m²21
"Bilocale via Melzo 28, Porta Venezia, Milano",,€ 614.000,262m²11
"Quadrilocale via Tommaso Gulli, Piazzale Siena, Milano",,€ 550.000,4120m²22
"Trilocale via Zurigo 10, Inganni, Milano",,€ 235.000,378m²1R
"Attico corso Vercelli, Vercelli - Wagner, Milano",,€ 1.000.000,5150m²1
"Bilocale viale Abruzzi, Città Studi, Milano",,€ 360.000,272m²12
"Appartamento via Edmondo De Amicis, Corso Genova, Milano",,Prezzo su richiesta,5+350m²3T
"Quadrilocale via Cesare Vignati, Affori, Milano",,€ 375.000,4110m²2T
"Quadrilocale corso di Porta Nuova, Turati, Milano",,Prezzo su richiesta,4185m²24
"Trilocale via Edolo, Cascina dei Pomi, Milano",,€ 495.000,395m²23
"Quadrilocale viale Abruzzi, Città Studi, Milano",,€ 720.000,4140m²22
"Trilocale via Grivola, Niguarda, Milano",,€ 286.000,390m²11
"Bilocale via Raffaello Sanzio, Vercelli - Wagner, Milano",,€ 415.000,265m²11
"Appartamento corso Monforte, San Babila, Milano",,Prezzo su richiesta,5+220m²33
"Appartamento all'asta via Michele Lessona, , 2, Milano",,"da € 59.250,00",413/12/202348m²
"Bilocale ottimo stato, secondo piano, Corvetto, Milano",,€ 320.000,260m²12
"Appartamento corso Monforte, San Babila, Milano",,Prezzo su richiesta,5+450m²34
"Bilocale via Legnano, Arena, Milano",,€ 850.000,270m²11
"Appartamento via Sangallo 12, Città Studi, Milano",,€ 190.000,22m²12
"Trilocale via Felice Casati 23, Buenos Aires, Milano",,€ 390.000,380m²1T
"Quadrilocale via Ruggero Leoncavallo 8, Parco Trotter, Milano",,€ 850.000,4150m²25
"Trilocale viale Lucania 19, Corvetto, Milano",,€ 325.000,380m²1R
"Bilocale via Monte Velino 18, Molise - Cuoco, Milano",,€ 225.000,251m²12
"Trilocale via Friuli 82, Cadore, Milano",,€ 449.000,380m²15
"Trilocale via Walter Tobagi 13, Tre Castelli - Faenza, Milano",,€ 270.000,380m²12
"Quadrilocale via Carlo Goldoni 57, Plebisciti - Susa, Milano",,€ 1.080.000,4156m²24
"Trilocale corso 22 Marzo 32, Porta Vittoria, Milano",,€ 920.000,3115m²27 - 8
"Trilocale via Mecenate 3, Quartiere Forlanini, Milano",,€ 268.000,390m²1R
"Bilocale via Gianfranco Malipiero 12, Viale Ungheria - Mecenate, Milano",,€ 290.000,260m²15
"Appartamento via Giovanni Pezzotti 19, Pezzotti - Meda, Milano",,€ 650.000,5130m²21
"Appartamento Alzaia Naviglio Grande, Navigli - Darsena, Milano",,€ 735.000,5217m²3+T
"Bilocale via Piero Bottoni 9, Vigentino - Fatima, Milano",,€ 235.000,260m²14
"Quadrilocale via Tortona, Navigli - Darsena, Milano",,€ 995.000,4140m²24
"Trilocale via Giacinto Serrati Menotti 12, Ponte Lambro, Milano",,€ 169.000,394m²1
"Appartamento via Giovanni Battista Morgagni, Morgagni, Milano",,€ 1.100.000,5130m²26
"Quadrilocale via Padova 353, Quartiere Adriano, Milano",,€ 440.000,4153m²2
"Trilocale via Ugo Pisa 8, Inganni, Milano",,€ 309.000,3100m²14
"Quadrilocale via Giacinto Gallina, Città Studi, Milano",,€ 869.000,4161m²25
"Appartamento Alzaia Naviglio Grande, Navigli - Darsena, Milano",,€ 1.235.000,5+370m²3+T
"Appartamento corso Italia 22, Carrobbio, Milano",,€ 2.450.000,5202m²33
"Bilocale via Alfonso Cossa 15, Quartiere Forlanini, Milano",,€ 235.000,260m²11
"Trilocale via Francesco Rismondo 112, Baggio, Milano",,€ 225.000,380m²13
"Monolocale via Lanfranco della Pila 1, Niguarda, Milano",,€ 135.000,142m²13
"Trilocale via Fabio Mangone 3, Corso Genova, Milano",,€ 825.000,3100m²23
"Trilocale via Cesare da Sesto 24, Corso Genova, Milano",,€ 660.000,3120m²11
"Trilocale corso di Porta Romana 46, Missori, Milano",,€ 860.000,378m²11
"Appartamento corso di Porta Romana 46, Missori, Milano",,€ 4.150.000,5296m²3+6
"Quadrilocale corso di Porta Romana 46, Missori, Milano",,€ 1.870.000,4156m²32
"Loft via Triboniano 13, Certosa, Milano",,€ 79.000,140m²1T
"Trilocale via Negroli 2, Argonne - Corsica, Milano",,€ 515.000,3120m²13
"Trilocale via Lessona, Roserio, Milano",,€ 403.000,3121m²24
"Appartamento via Sant'Antonio, Missori, Milano",,€ 1.595.000,5171m²22
"Trilocale via Pisanello 4, Gambara, Milano",,€ 529.000,393m²23
"Loft via Cosimo del Fante 13, Ticinese, Milano",,€ 169.000,255m²1S
"Bilocale via Biella 24, Famagosta, Milano",,€ 188.000,245m²12
"Trilocale viale Luigi Torelli, Farini, Milano",,€ 595.000,3100m²25
"Trilocale via Costanzo Cantoni 2, Ghisolfa - Mac Mahon, Milano",,€ 595.000,3100m²25
"Attico via Michele Novaro, Affori, Milano",,€ 685.000,5180m²35
"Monolocale largo Camillo Caccia Dominioni 5, Ripamonti, Milano",,€ 185.000,135m²12
"Monolocale via Vigevano 1, Navigli - Darsena, Milano",,€ 330.000,135m²14
"Bilocale via Console Marcello 18, Bovisa, Milano",,€ 180.000,245m²17
"Appartamento via delle Gardenie 3, Primaticcio, Milano",,€ 695.000,5+195m²23
"Trilocale via Vincenzo Giordano Orsini 6, Bande Nere, Milano",,€ 387.000,382m²12
"Trilocale corso di Porta Vittoria 50, Guastalla, Milano",,€ 715.000,380m²24
"Trilocale via Chieti 9, Sempione, Milano",,€ 490.000,390m²11
"Trilocale via Demonte 2, Prato Centenaro, Milano",,€ 330.000,380m²19
"Appartamento piazza Tirana 24, Giambellino, Milano",,€ 568.000,5110m²214
"Trilocale via Caduti in Missione di Pace 9, Rubattino, Milano",,€ 425.000,395m²27
"Bilocale via Muzio Scevola 6, Lambrate, Milano",,€ 255.000,260m²13
"Appartamento via Francesco Burlamacchi 4, Porta Romana - Medaglie d'Oro, Milano",,€ 2.200.000,5+320m²3+2
"Bilocale via Lorenzo Bartolini 25, Ghisolfa - Mac Mahon, Milano",,€ 275.000,255m²11
"Monolocale via Matteo Civitali 25, San Siro, Milano",,€ 140.000,125m²13
"Trilocale via Bottego 15, Crescenzago, Milano",,€ 258.000,378m²12
"Trilocale via degli Umiliati, 16, Ponte Lambro, Milano",,€ 269.000,3100m²11
"Bilocale via Policarpo Petrocchi 44, Turro, Milano",,€ 228.000,260m²12
"Appartamento via Francesco Melzi d'Eril 44, Paolo Sarpi, Milano",,€ 1.600.000,5160m²22
"Trilocale via Francesco Rismondo, Baggio, Milano",,€ 280.000,385m²1T
"Trilocale via Francesco Rismondo, Baggio, Milano",,€ 253.000,377m²1T
"Trilocale via Luigi Settembrini 46, Buenos Aires, Milano",,€ 680.000,3100m²22
"Appartamento via Giancarlo Sismondi 3, Plebisciti - Susa, Milano",,€ 890.000,5170m²27
"Bilocale via Luigi Sala 12, Navigli - Darsena, Milano",,€ 449.000,261m²1
"Trilocale via Frosinone 70, Baggio, Milano",,€ 260.000,3200m²2T
"Trilocale via salvemini 11, Comasina, Milano",,€ 280.000,387m²11
"Bilocale viale Ungheria 26, Viale Ungheria - Mecenate, Milano",,€ 213.000,269m²13
"Trilocale nuovo, quarto piano, Roserio, Milano",,€ 287.000,387m²14
"Trilocale via Giambellino, Giambellino, Milano",,€ 720.000,3145m²23
"Bilocale via Savona 67, Solari, Milano",,€ 289.000,250m²1T
"Quadrilocale via dei Gracchi, Frua, Milano",,€ 790.000,4150m²21
"Trilocale via Valsassina , 16, Roserio, Milano",,€ 199.000,380m²12
"Bilocale via Domenico Veneziano 9, Bologna - Sulmona, Milano",,€ 250.000,260m²18
"Quadrilocale via Michele Lessona, 0, Roserio, Milano",,€ 391.000,4121m²22
"Monolocale via Antonio Meucci 83, Ponte Nuovo, Milano",,€ 178.000,140m²13
"Bilocale via Veglia, Istria, Milano",,€ 310.000,265m²11
"Bilocale piazzale Carlo Maciachini, Farini, Milano",,€ 269.000,265m²11
"Trilocale via Arona, Sempione, Milano",,€ 550.000,3100m²14
"Trilocale via Carlo Crivelli 15/1, Quadronno - Crocetta, Milano",,€ 780.000,3102m²21
"Trilocale via Vincenzo Russo 5, Turro, Milano",,€ 389.000,3100m²22
"Trilocale via Fieno 1, Missori, Milano",,€ 890.000,382m²21
"Bilocale via Cenisio, Cenisio, Milano",,€ 230.000,260m²1R
"Loft via Morimondo 26, Barona, Milano",,€ 1.450.000,4288m²3
"Trilocale via Zurigo, Inganni, Milano",,€ 325.000,390m²13
"Trilocale via Caduti di Marcinelle 14, Rubattino, Milano",,€ 515.000,3110m²23
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",249m²
"Bilocale via Astolfo 12, Città Studi, Milano",,€ 368.000,258m²11
"Trilocale via Emilio Cornalia 2, Melchiorre Gioia, Milano",,€ 530.000,390m²23
"Bilocale via conte verde, Dergano, Milano",,€ 189.000,245m²1R
"Bilocale via Astolfo 12, Città Studi, Milano",,€ 368.000,258m²11
"Trilocale via Ovada, Famagosta, Milano",,€ 475.000,3110m²24
"Bilocale corso Giuseppe Garibaldi, Moscova, Milano",,€ 535.000,253m²13
"Bilocale via Bonghi, Pezzotti - Meda, Milano",,€ 285.000,260m²1T
"Trilocale corso Lodi 111, Corvetto, Milano",,€ 399.000,380m²17
"Attico via Remo la Valle, Giambellino, Milano",,€ 579.000,4133m²27
"Appartamento via Sibari, Vigentino - Fatima, Milano",,€ 220.000,40m²1T
"Bilocale via Remo la Valle 1, Giambellino, Milano",,€ 175.000,268m²11
"Quadrilocale viale Murillo, San Siro, Milano",,€ 580.000,4120m²24
"Bilocale via Giambellino, Giambellino, Milano",,€ 383.500,260m²23
"Bilocale viale Ortles 80, Corvetto, Milano",,€ 442.829,267m²14
"Trilocale via maspero, 51, Molise - Cuoco, Milano",,€ 358.000,392m²14
"Trilocale viale Coni Zugna 43, Solari, Milano",,€ 780.000,3115m²21
"Monolocale viale Tibaldi 66, Pezzotti - Meda, Milano",,€ 210.000,138m²13
"Bilocale via Rovereto 9, Rovereto, Milano",,€ 235.000,245m²12
"Trilocale via Antonio Scarpa 9, Vercelli - Wagner, Milano",,€ 690.000,380m²11
"Bilocale via FIUGGI, Istria, Milano",,€ 270.000,252m²15
"Villa bifamiliare via Ponte del Giuscano, Figino, Milano",,€ 1.200.000,5+425m²3+
"Trilocale via Semplicità 1, Dergano, Milano",,€ 570.000,3110m²21
"Bilocale piazza Tripoli, Tripoli - Soderini, Milano",,€ 370.000,260m²16
"Bilocale via Semplicità 1, Dergano, Milano",,€ 269.000,260m²1R
"Quadrilocale via Baldo Degli Ubaldi 10, Certosa, Milano",,€ 528.000,4138m²22
"Villa unifamiliare via Ponte del Giuscano, Figino, Milano",,€ 2.000.000,5+850m²3+
"Monolocale via Accademia 53, Casoretto, Milano",,€ 148.000,135m²1R
"Trilocale via Semplicità 1, Dergano, Milano",,€ 510.000,3100m²11
"Trilocale via Semplicità 1, Dergano, Milano",,€ 495.000,3100m²11
"Quadrilocale via Giacosa, 50, Rovereto, Milano",,€ 390.000,495m²16
"Bilocale viale Giovanni da Cermenate, Cermenate - Abbiategrasso, Milano",,€ 249.000,255m²15
"Bilocale via Innocenzo Isimbardi, Cermenate - Abbiategrasso, Milano",,€ 285.000,265m²11
"Quadrilocale via Michele Saponaro, Gratosoglio, Milano",,€ 289.000,4120m²216
"Quadrilocale via Giovan Battista Pergolesi, Buenos Aires, Milano",,€ 820.000,4170m²3R
"Quadrilocale via Francesco Primaticcio 180, Bande Nere, Milano",,€ 510.000,4130m²21
"Trilocale via Brembo, Lodi - Brenta, Milano",,€ 765.000,398m²1
"Trilocale via Sibari 6, Vigentino - Fatima, Milano",,€ 410.000,3105m²12
"Trilocale via via del Futurismo 6, Santa Giulia, Milano",,€ 500.000,3105m²26
"Bilocale via dei Tulipani 19, Giambellino, Milano",,€ 265.000,257m²15
"Trilocale via Paolo Lomazzo 52, Paolo Sarpi, Milano",,€ 795.000,3105m²22
"Bilocale via dei Ciclamini, Primaticcio, Milano",,Prezzo su richiesta,290m²11
"Trilocale viale Monte Nero, Montenero, Milano",,€ 650.000,390m²2S4
"Appartamento via Joe Colombo, Porta Nuova, Milano",,€ 470.000,45m²11
"Quadrilocale via Alfredo Oriani 3, Quadronno - Crocetta, Milano",,€ 750.000,4115m²17
"Bilocale corso San Gottardo 14, Ascanio Sforza, Milano",,€ 405.000,260m²1T
"Monolocale corso di Porta Ticinese, Ticinese, Milano",,€ 410.000,150m²11
"Monolocale via Cardinale Giovanni Cagliero 14, Maggiolina, Milano",,€ 110.000,125m²11
"Appartamento via Antonello Da Messina 5, Gambara, Milano",,€ 980.000,5+220m²36
"Trilocale piazza leonardo, Città Studi, Milano",,€ 665.000,396m²25
"Appartamento via Luigi Vanvitelli 42, Città Studi, Milano",,€ 1.249.000,5+210m²32
"Trilocale via Carlo Maderno 2, Ascanio Sforza, Milano",,€ 485.000,390m²13
"Bilocale via dei Tulipani 19, Giambellino, Milano",,€ 335.000,273m²15
"Trilocale Alzaia Naviglio Grande, Navigli - Darsena, Milano",,Prezzo su richiesta,3125m²23 - 4
"Monolocale Ripa di Porta Ticinese, Navigli - Darsena, Milano",,€ 205.000,140m²15
"Appartamento piazza San Babila, San Babila, Milano",,Prezzo su richiesta,5165m²22
"Trilocale via Bettino da Trezzo 12, Cascina dei Pomi, Milano",,€ 260.000,375m²1R
"Trilocale via Andrea Cesalpino 22, Ponte Nuovo, Milano",,€ 225.000,380m²1R
"Trilocale ottimo stato, piano terra, Missori, Milano",,€ 735.000,370m²1T
"Bilocale ottimo stato, piano terra, Missori, Milano",,€ 470.000,255m²1T
"Trilocale ottimo stato, piano terra, Missori, Milano",,€ 715.000,373m²1T
"Appartamento all'asta via Del Cardellino, 55, Milano",,"da € 152.000,00",208/11/202380m²R
"Quadrilocale via Sant'Abbondio, 53, Chiesa Rossa, Milano",,€ 330.000,4111m²23
"Bilocale via Stendhal 23, Solari, Milano",,€ 425.000,255m²11
"Trilocale via Luigi Caroli 6, Ponte Nuovo, Milano",,€ 165.000,3100m²1T
"Appartamento corso Como, Garibaldi - Corso Como, Milano",,Prezzo su richiesta,5220m²32
"Quadrilocale buono stato, primo piano, Cascina dei Pomi, Milano",,€ 685.000,4135m²21
"Trilocale viale Ungheria 7, Viale Ungheria - Mecenate, Milano",,€ 185.000,379m²1R
"Appartamento all'asta via Elio Vittorini, 32, Milano",,"da € 100.200,00",270m²1
"Trilocale viale Certosa , 282, Cascina Merlata - Musocco, Milano",,€ 350.000,373m²14
"Appartamento all'asta via Giovanni Pacini, 61, Milano",,"da € 689.250,00",516/01/2024181m²5
"Bilocale via Cividale Del Friuli, Baggio, Milano",,€ 239.000,290m²11
"Appartamento all'asta viale Ungheria, 11, Milano",,"da € 112.500,00",308/11/202378m²2
"Bilocale viale Col di Lana 6, Corso San Gottardo, Milano",,€ 285.000,250m²11
"Trilocale via Romolo Gessi 34, Washington, Milano",,€ 780.000,3126m²11
"Monolocale via Torquato Taramelli 58, Maggiolina, Milano",,€ 335.000,140m²13
"Appartamento all'asta via Bernardo Rucellai, 8, Milano",,"da € 107.250,00",110/11/202355m²1
"Bilocale via Bernardino Verro 43C, Ripamonti, Milano",,€ 341.000,265m²1T
"Appartamento all'asta via Michele Lessona, 2, Milano",,"da € 59.250,00",213/12/202347m²3
"Bilocale via Padova 82, Parco Trotter, Milano",,€ 209.000,246m²14
"Monolocale via Brusuglio, Affori, Milano",,€ 140.000,142m²1R
"Quadrilocale via San Paolino 12, Cantalupa - San Paolo, Milano",,€ 295.000,4105m²21
"Appartamento all'asta viale Ungheria 11, Milano",,"da € 112.500,00",308/11/202377m²2
"Bilocale buono stato, primo piano, Pasteur, Milano",,Prezzo su richiesta,240m²1
"Bilocale settimo piano, Gambara, Milano",,€ 355.000,265m²17
"Appartamento all'asta, Milano",,"da € 197.533,10",130/10/202354m²T
"Appartamento all'asta viale Ungheria, 11, Milano",,"da € 112.500,00",308/11/202374m²2
"Appartamento all'asta, Milano",,"da € 59.250,00",213/12/202349m²3
"Attico Alzaia Naviglio Grande, Navigli - Darsena, Milano",,Prezzo su richiesta,3125m²23 - 4
"Appartamento all'asta, Milano",,"da € 689.250,00",516/01/2024191m²4
"Appartamento all'asta, Milano",,"da € 127.500,00",315/11/202376m²T
"Trilocale buono stato, secondo piano, Piave - Tricolore, Milano",,€ 730.000,3105m²12
"Appartamento all'asta via Michele Lessona, Milano",,"da € 59.250,00",249m²1
"Appartamento all'asta via Ernesto Reinach, 7, Milano",,"da € 127.500,00",315/11/202373m²R
"Appartamento all'asta via Pacini, Milano",,"da € 689.250,00",5+188m²1
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202349m²3
"Quadrilocale ottimo stato, quarto piano, Navigli - Darsena, Milano",,€ 849.000,4160m²34
"Monolocale via Farsaglia 14, Martini - Insubria, Milano",,€ 150.000,130m²1R
"Bilocale ottimo stato, piano rialzato, San Siro, Milano",,€ 425.000,285m²1R
"Bilocale ottimo stato, primo piano, San Siro, Milano",,€ 370.000,274m²11
"Bilocale Cesare Correnti, Carrobbio, Milano",,€ 430.000,250m²14
"Bilocale ottimo stato, terzo piano, Pezzotti - Meda, Milano",,€ 249.000,255m²13
"Palazzo - stabile all'asta via Budrio , 10, Milano",,"da € 52.200,00",111/10/2023
"Monolocale da ristrutturare, secondo piano, Isola, Milano",,€ 186.000,130m²12
"Attico via Masaccio, Monte Rosa - Lotto, Milano",,€ 735.000,3110m²17
"Appartamento via Padova, Cimiano, Milano",,€ 148.000,45m²4
"Monolocale ottimo stato, secondo piano, Cermenate - Abbiategrasso, Milano",,€ 230.000,130m²12
"Bilocale piazza Giovanni Perego 8, Cenisio, Milano",,€ 1.500,250m²12
"Loft via Nino Bixio 29, Porta Venezia, Milano",,€ 670.000,396m²1S - T
"Trilocale via Gaspare Spontini 6, Buenos Aires, Milano",,€ 580.000,390m²13
"Quadrilocale via Andrea Costa 31, Pasteur, Milano",,€ 530.000,497m²21
"Trilocale via Chianciano 4, Affori, Milano",,€ 345.000,370m²11
"Trilocale via Friuli 18, Porta Romana - Medaglie d'Oro, Milano",,€ 490.000,387m²1
"Quadrilocale via SACCARDO 1, Lambrate, Milano",,€ 570.000,4144m²15
"Monolocale via Abetone 6, Molise - Cuoco, Milano",,€ 145.000,130m²11
"Appartamento all'asta piazzale Selinunte 3, Milano",,"da € 51.000,00",209/11/202349m²1
"Bilocale via Fano ,6, Bruzzano, Milano",,€ 185.000,261m²1
"Quadrilocale via fratelli FRASCHINI, Gratosoglio, Milano",,€ 435.000,4145m²21
"Bilocale via Filippo De Pisis 19, Quarto Oggiaro, Milano",,€ 129.000,267m²16
"Trilocale via Pericle 5, Precotto, Milano",,€ 319.000,395m²1R
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202347m²3
"Monolocale Ripa di Porta Ticinese 127/A, Navigli - Darsena, Milano",,€ 205.000,140m²15
"Quadrilocale viale delle Rimembranze di Lambrate 2a, Lambrate, Milano",,€ 570.000,4144m²25
"Appartamento all'asta via Michele Lessona, 3, Milano",,"da € 59.250,00",449m²3
"Trilocale via Antonio Bronzino 13, Città Studi, Milano",,€ 540.000,3115m²2R
"Quadrilocale via Antonio Bronzino 13, Città Studi, Milano",,€ 910.000,4118m²23
"Trilocale via Antonio Bronzino 13, Città Studi, Milano",,€ 810.000,3118m²21
"Trilocale piazza Morbegno 3, Pasteur, Milano",,€ 548.000,3110m²21
"Trilocale via Monzambano, Dergano, Milano",,€ 255.000,387m²1R
"Bilocale via Cadibona 10, Molise - Cuoco, Milano",,€ 170.000,244m²1T
"Loft via Gian Francesco Pizzi, Ripamonti, Milano",,€ 520.000,395m²1T
"Trilocale via Monte Popera 15, Santa Giulia, Milano",,€ 270.000,394m²1
"Bilocale via del Bollo 4, Duomo, Milano",,€ 690.000,260m²13
"Bilocale via Tofane 5, Turro, Milano",,€ 275.000,260m²11
"Appartamento piazzale Aquileia 8, Dezza, Milano",,€ 2.290.000,5+290m²3+4
"Trilocale via Domenichino, Amendola - Buonarroti, Milano",,€ 699.000,388m²13
"Bilocale viale Omero 18, Corvetto, Milano",,€ 250.000,250m²1R
"Villa unifamiliare via Giovanni da Verrazzano 19, Crescenzago, Milano",,€ 899.000,4197m²3
"Bilocale Alzaia Naviglio Pavese 2, Ascanio Sforza, Milano",,€ 415.000,2102m²11
"Trilocale via Enrico Cosenz 44, Bovisa, Milano",,€ 354.446,381m²12
"Bilocale viale Brenta 35, Corvetto, Milano",,€ 490.000,274m²11
"Trilocale piazza Domenico Ghirlandaio, Gambara, Milano",,€ 545.000,3100m²1
"Trilocale via Val Mesolcina 2, Corvetto, Milano",,€ 265.000,365m²13
"Bilocale via Gioacchino Murat 84, Istria, Milano",,€ 203.550,253m²11
"Trilocale via Trasimeno 40/12, Quartiere Adriano, Milano",,€ 358.000,3109m²2
"Bilocale corso di Porta Vittoria 50, Guastalla, Milano",,€ 498.000,250m²14
"Bilocale buono stato, quarto piano, Bovisa, Milano",,€ 265.000,270m²14
"Quadrilocale via Domenico Cucchiari 7, Cenisio, Milano",,€ 475.000,4100m²1R
"Trilocale via Tolmezzo 12/2, Udine, Milano",,€ 369.000,381m²16
"Monolocale via Leone Tolstoi, 49, Giambellino, Milano",,€ 315.000,145m²15
"Appartamento all'asta via Michele Lessona 2, Milano",,"da € 59.250,00",213/12/202349m²
"Bilocale via Negroli 14, Argonne - Corsica, Milano",,€ 260.000,250m²12
"Appartamento via Sant'Agnese, Sant'Ambrogio, Milano",,€ 2.050.000,5175m²35
"Bilocale via Luigi Varanini 27, Pasteur, Milano",,€ 298.000,250m²14
"Trilocale buono stato, primo piano, Gorla, Milano",,€ 419.000,3110m²11
"Monolocale via Ponte Vetero 21, Cadorna - Castello, Milano",,€ 279.000,130m²1S
"Bilocale viale Monza 125, Turro, Milano",,€ 225.000,250m²1T
"Loft viale Umbria, Lodi - Brenta, Milano",,€ 180.000,250m²1T
"Trilocale via Francesco Rismondo, Baggio, Milano",,€ 235.000,375m²1T
"Trilocale via San Paolino, Cantalupa - San Paolo, Milano",,€ 249.000,395m²15
"Monolocale via Francesco Rismondo, Baggio, Milano",,€ 175.000,145m²1T
"Trilocale via Francesco Rismondo, Baggio, Milano",,€ 285.000,385m²1T
"Bilocale via Almerico da Schio, Giambellino, Milano",,€ 289.000,270m²16
"Quadrilocale via Giovanni Battista Pergolesi 4, Buenos Aires, Milano",,€ 770.000,4130m²23
"Palazzo - Edificio via Marco Aurelio, Parco Trotter, Milano",,Prezzo su richiesta,17.951m²34
"Quadrilocale ottimo stato, secondo piano, Precotto, Milano",,€ 495.000,4136m²22
"Appartamento all'asta piazzale Selinunte 3, Milano",,"da € 51.000,00",209/11/202350m²1
"Trilocale via dei Transiti 29, Pasteur, Milano",,€ 289.000,372m²11
"Quadrilocale via Trezzo d'Adda 4, Solari, Milano",,€ 920.000,4188m²23
"Trilocale via Antonio Stoppani, Morgagni, Milano",,€ 925.000,3173m²23
"Trilocale via Francesco Koristka 7, Cenisio, Milano",,€ 630.000,3105m²14
"Trilocale via Giuba, Cimiano, Milano",,€ 395.000,380m²14
"Quadrilocale via Giuseppe Piolti de' Bianchi 7, Plebisciti - Susa, Milano",,€ 1.040.000,4150m²21
"Trilocale via Angelo Inganni 27, Inganni, Milano",,€ 230.000,367m²11
"Bilocale via Tolmezzo 18, Udine, Milano",,€ 220.000,270m²1T
"Appartamento all'asta via Costanzo Cantoni 7, Milano",,"da € 42.000,00",212/12/202351m²S
"Appartamento all'asta via Ernesto Reinach 7, Milano",,"da € 127.500,00",375m²
"Trilocale via Giambellino, Giambellino, Milano",,€ 559.000,390m²23
"Trilocale via Emilio Motta, Vercelli - Wagner, Milano",,€ 590.000,387m²11
"Bilocale via Giovanni Livraghi, Precotto, Milano",,€ 370.000,267m²12
"Trilocale via Fratelli Induno 28, Cenisio, Milano",,€ 598.000,393m²11
"Trilocale via Cola Montano, Isola, Milano",,€ 550.000,375m²23
"Appartamento via Valtellina 20, Isola, Milano",,€ 850.000,5+170m²22
"Bilocale via Felicité Robert De Lamennais 15, Quarto Cagnino, Milano",,€ 165.000,255m²13
