in-card__title,nd-figure__content,in-realEstateListCard__priceOnTop,nd-list
"Trilocale via Giulio E Corrado Venini, Centrale, Milano",,€ 612.000,3105m²22
"Trilocale via Giacomo Zanella, Argonne - Corsica, Milano",,€ 563.000,390m²13
"Trilocale via Niccolo Copernico, Centrale, Milano",,€ 572.000,390m²22
"Trilocale via Giancarlo Sismondi, Argonne - Corsica, Milano",,€ 438.000,375m²12
"Trilocale via Cenisio, Cenisio, Milano",,€ 572.000,390m²15
"Bilocale via Domenico Da Cimarosa, Vercelli - Wagner, Milano",,€ 581.000,280m²11
"Trilocale via Niccolo Copernico, Centrale, Milano",,€ 608.000,385m²14
"Trilocale viale Umbria, Porta Romana - Medaglie d'Oro, Milano",,€ 564.000,380m²12
"Appartamento all'asta viale Marche 40, Milano",,"da € 197.533,10",30/10/2023
"Trilocale via Roald Engelbert Amundsen, San Siro, Milano",,€ 548.000,3110m²12
"Bilocale via Daniele Ricciarelli 13, San Siro, Milano",,€ 310.000,262m²1T
"Trilocale via Giuseppe Govone, Cenisio, Milano",,€ 590.000,3100m²15
"Trilocale via Mario Pichi, Navigli - Darsena, Milano",,€ 708.000,3110m²11
"Trilocale via Generale Giuseppe Govone, Cenisio, Milano",,€ 650.000,3100m²13
"Trilocale via Giosue Borsi, Navigli - Darsena, Milano",,€ 698.000,3100m²16
"Trilocale via Giosue Borsi, Navigli - Darsena, Milano",,€ 531.000,380m²14
"Trilocale via Francesco Primaticcio 213, Primaticcio, Milano",,€ 465.000,3116m²27
"Monolocale via Marco Aurelio 8, Parco Trotter, Milano",,€ 305.000,145m²11
"Appartamento all'asta via Marco Aurelio, 42, Milano",,"da € 75.000,00",230/11/202339m²R
"Palazzo - Edificio via Barona 25, Cantalupa - San Paolo, Milano",,€ 450.000,5+243m²2
"Appartamento via Teglio, Farini, Milano",,€ 910.000,200m²4
"Appartamento all'asta via Bardolino, 30, Milano",,"da € 83.250,00",320/11/2023101m²2
"Appartamento all'asta via Pacini, 61, Milano",,"da € 689.250,00",5+16/01/2024188m²5
